Symbol	NSE IK Key
LXCHEM	NSE_EQ|INE576O01020
IXIGO	NSE_EQ|INE0HV901016
LLOYDSENGG	NSE_EQ|INE093R01011
LLOYDSENT	NSE_EQ|INE080I01025
LUMAXTECH	NSE_EQ|INE872H01027
LUXIND	NSE_EQ|INE150G01020
MOIL	NSE_EQ|INE490G01020
MSTCLTD	NSE_EQ|INE255X01014
MTARTECH	NSE_EQ|INE864I01014
MAHLIFE	NSE_EQ|INE813A01018
MANINFRA	NSE_EQ|INE949H01023
MANORAMA	NSE_EQ|INE00VM01036
MARKSANS	NSE_EQ|INE750C01026
MASTEK	NSE_EQ|INE759A01021
MAXESTATES	NSE_EQ|INE03EI01018
MEDPLUS	NSE_EQ|INE804L01022
MIDHANI	NSE_EQ|INE099Z01011
BECTORFOOD	NSE_EQ|INE495P01020
NEOGEN	NSE_EQ|INE136S01016
NESCO	NSE_EQ|INE317F01035
NFL	NSE_EQ|INE870D01012
NAZARA	NSE_EQ|INE418L01047
NETWORK18	NSE_EQ|INE870H01013
OPTIEMUS	NSE_EQ|INE350C01017
ORCHPHARMA	NSE_EQ|INE191A01027
ORIENTCEM	NSE_EQ|INE876N01018
OSWALPUMPS	NSE_EQ|INE0BYP01024
PNGJL	NSE_EQ|INE953R01016
PCJEWELLER	NSE_EQ|INE785M01021
PNCINFRA	NSE_EQ|INE195J01029
PTC	NSE_EQ|INE877F01012
PARADEEP	NSE_EQ|INE088F01024
PARAS	NSE_EQ|INE045601023
PATELENG	NSE_EQ|INE244B01030
PGIL	NSE_EQ|INE940H01022
POLYPLEX	NSE_EQ|INE633B01018
POWERMECH	NSE_EQ|INE211R01019
PRICOLLTD	NSE_EQ|INE726V01018
PRINCEPIPE	NSE_EQ|INE689W01016
PRSMJOHNSN	NSE_EQ|INE010A01011
PRIVISCL	NSE_EQ|INE959A01019
PRUDENT	NSE_EQ|INE00F201020
PURVA	NSE_EQ|INE323I01011
QUESS	NSE_EQ|INE615P01015
RAIN	NSE_EQ|INE855B01025
RALLIS	NSE_EQ|INE613A01020
RATEGAIN	NSE_EQ|INE0CLI01024
RATNAMANI	NSE_EQ|INE703B01027
RTNINDIA	NSE_EQ|INE834M01019
RTNPOWER	NSE_EQ|INE399K01017
RAYMONDLSL	NSE_EQ|INE02ID01020
REFEX	NSE_EQ|INE056I01025
RELAXO	NSE_EQ|INE131B01039
RELIGARE	NSE_EQ|INE621H01010
RBA	NSE_EQ|INE07T201019
ROUTE	NSE_EQ|INE450U01017
SKYGOLD	NSE_EQ|INE01IU01018
SAFARI	NSE_EQ|INE429E01023
SAMHI	NSE_EQ|INE08U801020
SANDUMA	NSE_EQ|INE149K01016
SANOFICONR	NSE_EQ|INE0UOS01011
SANOFI	NSE_EQ|INE058A01010
SANSERA	NSE_EQ|INE953O01021
SENCO	NSE_EQ|INE602W01027
SEQUENT	NSE_EQ|INE807F01027
SHAILY	NSE_EQ|INE151G01028
SHAKTIPUMP	NSE_EQ|INE908D01010
SHARDACROP	NSE_EQ|INE221J01015
SHARDAMOTR	NSE_EQ|INE597I01028
SHAREINDIA	NSE_EQ|INE932X01026
SFL	NSE_EQ|INE916U01025
SHILPAMED	NSE_EQ|INE790G01031
RENUKA	NSE_EQ|INE087H01022
SHRIPISTON	NSE_EQ|INE526E01018
SKIPPER	NSE_EQ|INE439E01022
SOUTHBANK	NSE_EQ|INE683A01023
STARCEMENT	NSE_EQ|INE460H01021
SWSOLAR	NSE_EQ|INE00M201021
STLTECH	NSE_EQ|INE089C01029
STAR	NSE_EQ|INE939A01011
STYRENIX	NSE_EQ|INE189B01011
SUBROS	NSE_EQ|INE287B01021
SUDARSCHEM	NSE_EQ|INE659A01023
SPARC	NSE_EQ|INE232I01014
SUNFLAG	NSE_EQ|INE947A01014
SUNTECK	NSE_EQ|INE805D01034
SUPRIYA	NSE_EQ|INE07RO01027
SURYAROSNI	NSE_EQ|INE335A01020
SYMPHONY	NSE_EQ|INE225D01027
TARC	NSE_EQ|INE0EK901012
TDPOWERSYS	NSE_EQ|INE419M01027
TSFINV	NSE_EQ|INE202Z01029
TVSSCS	NSE_EQ|INE395N01027
TANLA	NSE_EQ|INE483C01032
TEAMLEASE	NSE_EQ|INE985S01024
TEGA	NSE_EQ|INE011K01018
TEXRAIL	NSE_EQ|INE621L01012
THANGAMAYL	NSE_EQ|INE085J01014
ANUP	NSE_EQ|INE294Z01018
THOMASCOOK	NSE_EQ|INE332A01027
THYROCARE	NSE_EQ|INE594H01019
TI	NSE_EQ|INE133E01013
TIMETECHNO	NSE_EQ|INE508G01029
TIPSMUSIC	NSE_EQ|INE716B01029
TRANSRAILL	NSE_EQ|INE454P01035
UJJIVANSFB	NSE_EQ|INE551W01018
UNIMECH	NSE_EQ|INE0U3I01011
VMART	NSE_EQ|INE665J01013
VIPIND	NSE_EQ|INE054A01027
V2RETAIL	NSE_EQ|INE945H01013
VSTIND	NSE_EQ|INE710A01016
WABAG	NSE_EQ|INE956G01038
VAIBHAVGBL	NSE_EQ|INE884A01027
VARROC	NSE_EQ|INE665L01035
VESUVIUS	NSE_EQ|INE386A01023
VINATIORGA	NSE_EQ|INE410B01037
VOLTAMP	NSE_EQ|INE540H01012
WAAREERTL	NSE_EQ|INE299N01021
WEBELSOLAR	NSE_EQ|INE855C01023
WELENT	NSE_EQ|INE625G01013
WESTLIFE	NSE_EQ|INE274F01020
YATHARTH	NSE_EQ|INE0JO301016
ZAGGLE	NSE_EQ|INE07K301024
ZYDUSWELL	NSE_EQ|INE768C01028
EMUDHRA	NSE_EQ|INE01QM01018
